コード,品名,断面積,径深,ルートＲ,軒樋潤辺高さ
N30,メタリック調軒といサーフェスケアＦＳ−II型,0.01087,0.03648,0.19099,8.6
N40,メタリック調軒といサーフェスケアＦＳ−Ｉ型,0.0075,0.03112,0.1764,7.7
N50,サーフェスケアＦＳ−II型,0.01087,0.03648,0.19099,8.6
N60,サーフェスケアＦＳ−Ｉ型,0.0075,0.03112,0.1764,7.7
N70,ファインスケアＮＦ−Ｉ型,0.00817,0.03179,0.1783,7.2
N80,グランスケアＰＧＲ60,0.00589,0.02727,0.1651,6.9
N90,シビルスケアＰＣ77,0.00771,0.03147,0.1774,7.5
N100,シビルスケアＰＣ50,0.00401,0.02266,0.1505,5.1
N110,ジェイスケアＰＪ70,0.00587,0.02782,0.1668,6
N120,パラスケアＵ105,0.00468,0.02543,0.1595,5
N130,アイアン角Ｎ3.5II,0.00185,0.01609,0.1268,3.5
N140,アイアン丸105,0.00393,0.02503,0.1582,5.14
N150,アイアン丸120,0.00527,0.02896,0.1702,5.98
N160,ハイ丸75,0.00191,0.01736,0.1318,3.62
N190,エアロアイアン前高130ＷＩＤＥ,0.01218,0.0392,0.1980,8.9
N200,エアロアイアン前高165ＷＩＤＥ,0.02102,0.0518,0.2276,11.9
N210,エアロアイアン前高200ＷＩＤＥ,0.03344,0.06661,0.2581,14.8
N220,エアロアイアン折版120Ｉ型,0.01130,0.03829,0.1957,8.9
N230,エアロアイアン折版150Ｉ型,0.01897,0.04930,0.2220,11.9
N240,エアロアイアン折版150II型,0.02423,0.05445,0.2333,14.9
N250,エアロアイアン折版200Ｉ型,0.03156,0.06384,0.25267,14.8
N260,KAKU,0.00854,0.03288,0.1813,8.5
N270,メタリック調軒といグランスケアＰＧＲ60,0.00589,0.02727,0.1651,6.9
